1、本表依据发行人公告或募集说明书、债券注册要素表中的相关条款制成，仅供发行人参考。
2、我公司将根据从发行人处实际收到的资金履行代理付息兑付义务。
3、下列债券的付息兑付金额存在不确定性。对于浮动利率债券，付息兑付金额将根据生效后的新的票面利率进行计算；对于含有发行人赎回、投资人选择回售条款的债券，付息兑付金额将根据相关权利的履行结果进行调整；其他含权类债券的付息兑付金额的调整依据发行文件进行。
4、对于债券存续期跨闰年的债券，我公司依据发行人提供的闰年计息方式进行闰年应付利息计算；如发行人未确定闰年计息方式，我公司将依据中国人民银行的有关规定计算应付利息。
5、对于跨市场托管的债券，我公司将于转托管停办日之后另行书面通知发行人各市场债券托管量及相应付息兑付资金。本提示中的预计应付资金按债券面额总额计算。
"6、企业债券付息兑付服务费由发行人和主承销商自行计算，按照划款金额的万分之零点五计算,请在付息兑付时一并支付。"
7、我公司联系电话：88170123，88170759，88170827，88170229，88174580
序号,债券代码,债券名称,计息方式,债券面额（万元）,年利率(%),资金用途（兑付/付息）,预计应付资金（元）,付息兑付服务费,兑付/付息日,发行人名称,备注
1,1680051,16万宝开投债01,附息固定,"50,000.00",5.13%,兑付,"105,130,000.00",按实际划款金额的万分之零点五计算,20230201,娄底市万宝新区开发投资集团有限公司,提前还本
2,1680065,16普湾债,附息固定,"280,000.00",4.50%,兑付,"585,200,000.00",20230201,大连时泰城市建设发展有限公司,提前还本
3,1880012,18吴中城建债,附息固定,"50,000.00",6.50%,付息,"119,500,000.00",20230201,苏州市吴中城区建设发展有限公司,提前还本
4,1980043,19荆建投债,附息固定,"55,000.00",7.20%,付息,"141,680,000.00",20230201,荆州市荆州区城乡建设投资开发有限公司,提前还本
5,2180014,21十堰聚鑫债01,附息固定,"100,000.00",4.95%,付息,"49,500,000.00",20230201,十堰聚鑫国有资本投资运营集团有限公司,
6,2180016,21东海城投债,附息固定,"80,000.00",5.29%,付息,"42,320,000.00",20230201,东海县城市建设投资发展集团有限公司,
7,2180021,21海盐债01,附息固定,"80,000.00",4.89%,付息,"39,120,000.00",20230201,海盐县国有资产经营有限公司,
8,2180022,21洞头债01,附息固定,"50,000.00",5.05%,付息,"25,250,000.00",20230201,温州市洞头城市发展有限公司,
9,2180025,21杭城投债01,附息固定,"120,000.00",3.87%,付息,"46,440,000.00",20230201,杭州市城市建设投资集团有限公司,
10,2180029,21济轨绿债,附息固定,"300,000.00",4.35%,付息,"130,500,000.00",20230201,济南轨道交通集团有限公司,
11,2180031,21鸠江建投债,附息固定,"90,000.00",4.95%,付息,"44,550,000.00",20230201,芜湖市鸠江建设投资有限公司,
